Order,Created,Channel,Status,Subtotal,Discount,Shipping,Tax,Total,Discount codes
WS-58497,2026-08-20 17:48,Online Store,completed,59.53,0.00,7.99,4.32,71.84,
WS-58498,2026-08-20 18:13,Online Store,completed,72.67,0.00,7.99,5.27,85.93,
WS-58499,2026-08-20 18:44,Online Store,completed,68.90,10.34,7.99,4.25,70.80,summerreads15
WS-58500,2026-08-20 21:10,POS,completed,39.14,0.00,0.00,2.84,41.98,
WS-58501,2026-08-20 21:42,Online Store,completed,95.97,9.60,7.99,6.26,100.62, Backtoschool
WS-58502,2026-08-20 21:42,Online Store,completed,40.72,0.00,5.99,2.95,49.66,
WS-58503,2026-08-21 10:02,Online Store,completed,14.47,0.00,5.99,1.05,21.51,
WS-58504,2026-08-21 11:37,POS,completed,126.99,20.00,0.00,7.76,114.75,Book Club 20
WS-58505,2026-08-21 12:15,POS,completed,55.45,0.00,0.00,4.02,59.47,
WS-58506,2026-08-21 13:54,Online Store,completed,31.02,3.10,5.99,2.02,35.93,Backtoschool 
WS-58507,2026-08-21 15:45,POS,completed,50.33,0.00,0.00,3.65,53.98,
WS-58508,2026-08-21 15:57,POS,completed,80.69,0.00,0.00,5.85,86.54,
WS-58509,2026-08-21 16:03,POS,completed,22.85,10.00,0.00,0.93,13.78,MOTHERS DAY
WS-58510,2026-08-21 17:24,POS,completed,82.16,0.00,0.00,5.96,88.12,
WS-58511,2026-08-21 17:51,POS,completed,35.40,0.00,0.00,2.57,37.97,
WS-58512,2026-08-21 19:58,POS,completed,42.07,0.00,0.00,3.05,45.12,
WS-58513,2026-08-22 10:19,Online Store,completed,73.00,7.30,7.99,4.76,78.45,BACKTOSCHOOL 
WS-58514,2026-08-22 10:29,Online Store,completed,46.90,0.00,5.99,3.40,56.29,
WS-58515,2026-08-22 10:48,POS,completed,44.85,0.00,0.00,3.25,48.10,
WS-58516,2026-08-22 11:01,POS,completed,164.24,20.00,0.00,10.46,154.70,Bookclub20 
WS-58517,2026-08-22 11:07,POS,completed,30.48,10.00,0.00,1.48,21.96,MOTHERSDAY
WS-58518,2026-08-22 12:14,POS,completed,113.68,20.00,0.00,6.79,100.47,BOOK CLUB 20
WS-58519,2026-08-22 14:09,Online Store,completed,70.34,7.03,0.00,4.59,67.90,"FREESHIP50,teacher 10 "
WS-58520,2026-08-22 16:30,Online Store,completed,20.18,0.00,5.99,1.46,27.63,
WS-58521,2026-08-22 18:35,POS,completed,51.85,5.00,0.00,3.40,50.25,WELCOME5
WS-58522,2026-08-22 19:12,Online Store,completed,45.08,0.00,5.99,3.27,54.34,
WS-58523,2026-08-22 19:18,Online Store,completed,28.60,2.86,5.99,1.87,33.60,TEACHER10
WS-58524,2026-08-22 19:29,POS,completed,80.74,8.07,0.00,5.27,77.94,backtoschool
WS-58525,2026-08-22 20:07,Online Store,completed,12.99,0.00,5.99,0.94,19.92,
WS-58526,2026-08-22 20:24,POS,completed,59.10,5.91,0.00,3.86,57.05,BACKTOSCHOOL
WS-58527,2026-08-23 09:17,Online Store,completed,28.14,4.22,5.99,1.73,31.64,SUMMER READS15
WS-58528,2026-08-23 09:21,POS,completed,13.07,1.31,0.00,0.85,12.61, TEACHER10
WS-58529,2026-08-23 09:30,Online Store,completed,136.36,20.00,7.99,8.44,132.79,BOOKCLUB20
WS-58530,2026-08-23 10:39,Online Store,completed,52.03,5.20,0.00,3.40,50.23,"Free Ship 50, backtoschool"
WS-58531,2026-08-23 12:12,Online Store,completed,41.39,6.21,5.99,2.55,43.72,SUMMERREADS15 
WS-58532,2026-08-23 13:10,Online Store,completed,118.38,11.84,7.99,7.72,122.25,teacher10 
WS-58533,2026-08-23 13:45,Online Store,completed,93.47,0.00,7.99,6.78,108.24,
WS-58534,2026-08-23 13:52,Online Store,completed,56.15,5.62,7.99,3.66,62.18,Backtoschool
WS-58535,2026-08-23 13:58,POS,completed,45.55,4.55,0.00,2.97,43.97,TEACHER10
WS-58536,2026-08-23 15:07,Online Store,cancelled,148.04,20.00,7.99,9.28,145.31,BOOKCLUB20
WS-58537,2026-08-23 16:08,Online Store,completed,32.43,0.00,5.99,2.35,40.77,
WS-58538,2026-08-23 17:43,POS,completed,34.47,0.00,0.00,2.50,36.97,
WS-58539,2026-08-23 18:02,POS,completed,47.33,0.00,0.00,3.43,50.76,
WS-58540,2026-08-23 20:05,Online Store,completed,19.64,1.96,5.99,1.28,24.95, backtoschool
WS-58541,2026-08-23 20:46,Online Store,completed,70.91,0.00,7.99,5.14,84.04,
WS-58542,2026-08-23 21:17,POS,completed,117.66,0.00,0.00,8.53,126.19,
WS-58543,2026-08-23 21:32,POS,completed,36.10,0.00,0.00,2.62,38.72,
WS-58544,2026-08-24 08:15,POS,completed,29.78,0.00,0.00,2.16,31.94,
WS-58545,2026-08-24 08:50,Online Store,completed,102.66,20.00,7.99,5.99,96.64,bookclub20
WS-58546,2026-08-24 09:47,Online Store,completed,66.18,0.00,0.00,4.80,70.98, free ship 50
WS-58547,2026-08-24 10:59,POS,completed,47.65,0.00,0.00,3.45,51.10,
WS-58548,2026-08-24 11:54,Online Store,completed,125.29,20.00,7.99,7.63,120.91,bookclub20
WS-58549,2026-08-24 13:43,POS,completed,86.20,0.00,0.00,6.25,92.45,
WS-58550,2026-08-24 14:13,Online Store,completed,110.31,11.03,7.99,7.20,114.47,teacher10
WS-58551,2026-08-24 15:18,POS,completed,29.80,0.00,0.00,2.16,31.96,
WS-58552,2026-08-24 15:22,Online Store,completed,130.51,20.00,7.99,8.01,126.51, BOOKCLUB20
WS-58553,2026-08-24 15:25,Online Store,completed,66.87,0.00,7.99,4.85,79.71,
WS-58554,2026-08-24 15:42,Online Store,cancelled,167.93,20.00,7.99,10.72,166.64,Book Club 20 
WS-58555,2026-08-24 15:56,POS,completed,53.12,5.31,0.00,3.47,51.28,BACKTOSCHOOL
WS-58556,2026-08-24 19:15,Online Store,completed,158.53,20.00,7.99,10.04,156.56,bookclub20
WS-58557,2026-08-24 20:33,Online Store,completed,57.23,0.00,0.00,4.15,61.38,FREESHIP50
WS-58558,2026-08-24 21:28,POS,completed,26.57,0.00,0.00,1.93,28.50,
WS-58559,2026-08-24 21:44,Online Store,completed,34.31,0.00,5.99,2.49,42.79,
WS-58560,2026-08-25 10:40,POS,completed,70.08,0.00,0.00,5.08,75.16,
WS-58561,2026-08-25 10:56,Online Store,completed,56.89,0.00,0.00,4.12,61.01,FREESHIP50
WS-58562,2026-08-25 10:59,Online Store,completed,47.86,0.00,5.99,3.47,57.32,
WS-58563,2026-08-25 13:56,POS,completed,62.91,0.00,0.00,4.56,67.47,
WS-58564,2026-08-25 14:00,POS,completed,29.01,0.00,0.00,2.10,31.11,
WS-58565,2026-08-25 14:24,POS,completed,16.26,0.00,0.00,1.18,17.44,
WS-58566,2026-08-25 18:17,Online Store,completed,27.49,0.00,5.99,1.99,35.47,
WS-58567,2026-08-25 18:45,Online Store,completed,43.90,0.00,5.99,3.18,53.07,
WS-58568,2026-08-25 20:01,Online Store,completed,24.48,0.00,5.99,1.77,32.24,
WS-58569,2026-08-25 21:16,POS,completed,65.51,0.00,0.00,4.75,70.26,
WS-58570,2026-08-25 21:45,Online Store,completed,52.40,10.48,7.99,3.04,52.95,"BACK TO SCHOOL , TEACHER10"
WS-58571,2026-08-25 21:55,POS,completed,163.24,20.00,0.00,10.38,153.62,BOOKCLUB20
WS-58572,2026-08-26 09:04,POS,completed,80.55,0.00,0.00,5.84,86.39,
WS-58573,2026-08-26 09:08,POS,completed,33.40,3.34,0.00,2.18,32.24,TEACHER 10
WS-58574,2026-08-26 10:55,POS,completed,60.56,0.00,0.00,4.39,64.95,
WS-58575,2026-08-26 10:56,Online Store,completed,25.27,2.53,5.99,1.65,30.38,BACKTOSCHOOL
WS-58576,2026-08-26 12:02,Online Store,completed,42.33,4.23,5.99,2.76,46.85,BACKTOSCHOOL
WS-58577,2026-08-26 14:08,Online Store,completed,113.34,0.00,7.99,8.22,129.55,
WS-58578,2026-08-26 14:10,POS,completed,29.65,5.00,0.00,1.79,26.44,WELCOME5
WS-58579,2026-08-26 14:28,POS,completed,93.01,0.00,0.00,6.74,99.75,
WS-58580,2026-08-26 18:44,POS,completed,19.36,0.00,0.00,1.40,20.76,
WS-58581,2026-08-26 19:10,Online Store,completed,22.61,0.00,5.99,1.64,30.24,
WS-58582,2026-08-26 19:26,Online Store,completed,61.04,0.00,7.99,4.43,73.46,
WS-58583,2026-08-26 20:14,POS,completed,93.90,0.00,0.00,6.81,100.71,
WS-58584,2026-08-26 20:31,Online Store,completed,88.83,8.88,0.00,5.80,85.75,"Free Ship 50,BACKTOSCHOOL "
WS-58585,2026-08-27 09:12,POS,completed,61.00,0.00,0.00,4.42,65.42,
WS-58586,2026-08-27 09:57,POS,completed,89.19,0.00,0.00,6.47,95.66,
WS-58587,2026-08-27 10:21,Online Store,completed,114.24,20.00,7.99,6.83,109.06,bookclub20
WS-58588,2026-08-27 11:16,POS,completed,91.81,0.00,0.00,6.66,98.47,
WS-58589,2026-08-27 12:17,Online Store,completed,58.05,0.00,7.99,4.21,70.25,
WS-58590,2026-08-27 13:04,Online Store,completed,17.41,1.74,5.99,1.14,22.80, teacher10
WS-58591,2026-08-27 14:07,Online Store,completed,54.44,5.44,7.99,3.55,60.54,teacher 10
WS-58592,2026-08-27 15:22,POS,completed,182.47,20.00,0.00,11.78,174.25,BOOKCLUB20 
WS-58593,2026-08-27 17:06,POS,completed,12.53,0.00,0.00,0.91,13.44,
WS-58594,2026-08-27 17:10,POS,completed,37.13,3.71,0.00,2.42,35.84,Teacher 10
WS-58595,2026-08-27 19:19,Online Store,completed,97.16,0.00,7.99,7.04,112.19,
WS-58596,2026-08-27 19:20,Online Store,completed,81.39,8.14,7.99,5.31,86.55,BACKTOSCHOOL
WS-58597,2026-08-27 20:09,Online Store,completed,123.46,20.00,7.99,7.50,118.95,BOOKCLUB20
WS-58598,2026-08-27 21:19,POS,completed,22.22,0.00,0.00,1.61,23.83,
WS-58599,2026-08-28 14:48,POS,completed,18.73,0.00,0.00,1.36,20.09,
WS-58600,2026-08-28 16:20,Online Store,cancelled,15.72,1.57,5.99,1.03,21.17,TEACHER10
WS-58601,2026-08-28 17:08,Online Store,completed,66.18,0.00,7.99,4.80,78.97,
WS-58602,2026-08-28 17:37,Online Store,completed,120.13,0.00,7.99,8.71,136.83,
WS-58603,2026-08-28 18:44,Online Store,completed,15.66,3.13,5.99,0.91,19.43,SPRING 2026
WS-58604,2026-08-28 20:09,Online Store,completed,31.30,0.00,5.99,2.27,39.56,
WS-58605,2026-08-28 20:51,POS,completed,45.84,0.00,0.00,3.32,49.16,
WS-58606,2026-08-28 21:06,POS,completed,48.24,0.00,0.00,3.50,51.74,
WS-58607,2026-08-29 08:07,POS,completed,112.83,20.00,0.00,6.73,99.56,BOOKCLUB20
WS-58608,2026-08-29 09:49,Online Store,completed,58.36,0.00,7.99,4.23,70.58,
WS-58609,2026-08-29 10:01,POS,completed,34.85,0.00,0.00,2.53,37.38,
WS-58610,2026-08-29 10:28,Online Store,completed,140.90,20.00,7.99,8.77,137.66, Book Club 20
WS-58611,2026-08-29 11:17,Online Store,completed,56.71,0.00,7.99,4.11,68.81,
WS-58612,2026-08-29 11:29,POS,completed,105.86,0.00,0.00,7.67,113.53,
WS-58613,2026-08-29 13:33,POS,completed,92.01,9.20,0.00,6.00,88.81,TEACHER10
WS-58614,2026-08-29 13:52,Online Store,completed,66.92,0.00,7.99,4.85,79.76,
WS-58615,2026-08-29 14:29,Online Store,completed,54.63,0.00,7.99,3.96,66.58,
WS-58616,2026-08-29 15:20,POS,completed,56.83,0.00,0.00,4.12,60.95,
WS-58617,2026-08-29 15:58,Online Store,completed,34.98,0.00,5.99,2.54,43.51,
WS-58618,2026-08-29 18:49,Online Store,completed,57.81,0.00,7.99,4.19,69.99,
WS-58619,2026-08-29 20:22,Online Store,completed,70.04,0.00,7.99,5.08,83.11,
WS-58620,2026-08-29 21:57,Online Store,completed,111.85,0.00,7.99,8.11,127.95,
WS-58621,2026-08-30 08:11,POS,completed,20.79,0.00,0.00,1.51,22.30,
WS-58622,2026-08-30 10:23,Online Store,completed,64.50,6.45,0.00,4.21,62.26,"FREESHIP50,backtoschool"
WS-58623,2026-08-30 12:43,POS,completed,119.50,0.00,0.00,8.66,128.16,
WS-58624,2026-08-30 14:40,Online Store,completed,168.56,20.00,7.99,10.77,167.32, BOOKCLUB20
WS-58625,2026-08-30 15:06,Online Store,completed,56.60,0.00,7.99,4.10,68.69,
WS-58626,2026-08-30 17:33,POS,completed,19.22,1.92,0.00,1.25,18.55,Back To School
WS-58627,2026-08-30 18:06,Online Store,completed,30.61,0.00,5.99,2.22,38.82,
WS-58628,2026-08-30 18:27,POS,completed,19.53,0.00,0.00,1.42,20.95,
WS-58629,2026-08-30 18:57,POS,completed,82.37,0.00,0.00,5.97,88.34,
WS-58630,2026-08-30 21:54,Online Store,completed,140.66,20.00,7.99,8.75,137.40,Book Club 20 
WS-58631,2026-08-31 10:22,POS,completed,114.10,20.00,0.00,6.82,100.92,BOOKCLUB20
WS-58632,2026-08-31 10:43,Online Store,completed,53.24,0.00,7.99,3.86,65.09,
WS-58633,2026-08-31 11:34,Online Store,completed,54.69,0.00,0.00,3.97,58.66,Freeship50
WS-58634,2026-08-31 16:02,Online Store,completed,35.29,3.53,5.99,2.30,40.05,BACKTOSCHOOL
WS-58635,2026-08-31 16:42,Online Store,completed,17.97,0.00,5.99,1.30,25.26,
WS-58636,2026-08-31 19:38,Online Store,completed,12.86,2.58,5.99,0.75,17.02,"back to school,teacher10"
WS-58637,2026-08-31 20:33,POS,completed,47.19,0.00,0.00,3.42,50.61,
WS-58638,2026-08-31 20:44,POS,completed,61.86,0.00,0.00,4.48,66.34,
WS-58639,2026-08-31 20:57,Online Store,completed,114.85,11.48,7.99,7.49,118.85,TEACHER 10
