Receipt,Date,SKU,Item,Qty,Unit price,Line total,Type,Return reason,Original receipt
R51242,02/19/2026 02:20 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51243,02/19/2026 03:46 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51244,02/19/2026 03:47 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51245,02/19/2026 04:21 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51246,02/20/2026 09:06 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51247,02/20/2026 09:36 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51248,02/20/2026 10:44 AM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51249,02/20/2026 11:13 AM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51250,02/20/2026 01:38 PM,HAY-MT05,Meadow timothy hay 5 lb,3,16.99,50.97,Sale,,
R51251,02/20/2026 04:11 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51252,02/21/2026 09:50 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51253,02/21/2026 01:48 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51254,02/21/2026 03:48 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51255,02/21/2026 03:56 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51256,02/21/2026 04:42 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51257,02/21/2026 05:58 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51258,02/23/2026 09:50 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51259,02/23/2026 11:36 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51260,02/23/2026 12:24 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51261,02/23/2026 01:48 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51262,02/24/2026 09:33 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51263,02/24/2026 10:37 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51264,02/24/2026 11:42 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51265,02/24/2026 11:50 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51266,02/24/2026 05:26 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51267,02/24/2026 05:27 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51268,02/24/2026 06:43 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51269,02/25/2026 09:43 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51270,02/25/2026 09:52 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51271,02/25/2026 12:38 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51272,02/25/2026 01:27 PM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51273,02/25/2026 04:33 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51274,02/25/2026 05:02 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51275,02/25/2026 05:18 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51276,02/26/2026 09:13 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51277,02/26/2026 10:02 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51278,02/26/2026 11:24 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51279,02/26/2026 02:04 PM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51280,02/26/2026 04:16 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51281,02/26/2026 05:37 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51282,02/27/2026 09:34 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51283,02/27/2026 10:12 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51284,02/27/2026 11:08 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51285,02/27/2026 12:59 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51286,02/27/2026 01:20 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51287,02/27/2026 02:59 PM,HAY-MT05,Meadow timothy hay 5 lb,2,16.99,33.98,Sale,,
R51288,02/27/2026 03:24 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51289,02/27/2026 03:55 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51290,02/28/2026 09:36 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51291,02/28/2026 12:12 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51292,02/28/2026 02:55 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51293,02/28/2026 04:09 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51294,02/28/2026 04:11 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51295,03/02/2026 10:18 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51296,03/02/2026 10:57 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51297,03/02/2026 11:37 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51298,03/02/2026 11:52 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51299,03/02/2026 12:27 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51300,03/02/2026 12:49 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51301,03/02/2026 03:20 PM,CHW-DC30,"Dental chews, 30 count",2,28.99,57.98,Sale,,
R51302,03/02/2026 03:54 PM,CHW-DC30,"Dental chews, 30 count",-1,28.99,-28.99,Return,"Duplicate gift - unopened, restocked",R51294
R51303,03/03/2026 11:30 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51304,03/03/2026 03:02 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51305,03/03/2026 03:30 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51306,03/03/2026 06:23 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51307,03/03/2026 06:30 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51308,03/03/2026 06:30 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51309,03/03/2026 06:58 PM,OIL-SO16,Wild salmon oil 16 oz,2,24.99,49.98,Sale,,
R51310,03/04/2026 11:33 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51311,03/04/2026 11:59 AM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51312,03/04/2026 04:32 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51313,03/05/2026 10:38 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51314,03/05/2026 11:03 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51315,03/05/2026 11:19 AM,HAY-MT05,Meadow timothy hay 5 lb,2,16.99,33.98,Sale,,
R51316,03/05/2026 02:21 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51317,03/05/2026 03:00 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51318,03/05/2026 05:54 PM,CHW-DC30,"Dental chews, 30 count",2,28.99,57.98,Sale,,
R51319,03/06/2026 09:09 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51320,03/06/2026 09:12 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51321,03/06/2026 01:51 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51322,03/06/2026 02:43 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51323,03/07/2026 09:13 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51324,03/07/2026 02:15 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51325,03/07/2026 04:30 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51326,03/07/2026 06:33 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51327,03/07/2026 06:36 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51328,03/09/2026 09:56 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51329,03/09/2026 03:21 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51330,03/09/2026 03:53 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51331,03/09/2026 04:29 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51332,03/09/2026 05:13 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51333,03/10/2026 11:23 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51334,03/10/2026 11:59 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51335,03/10/2026 12:11 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51336,03/10/2026 01:40 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51337,03/10/2026 04:08 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51338,03/10/2026 04:37 PM,CHW-DC30,"Dental chews, 30 count",2,28.99,57.98,Sale,,
R51339,03/11/2026 11:46 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51340,03/11/2026 12:19 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51341,03/11/2026 05:03 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51342,03/11/2026 06:16 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51343,03/11/2026 06:50 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51344,03/12/2026 09:26 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51345,03/12/2026 10:04 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51346,03/12/2026 03:47 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51347,03/12/2026 04:23 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51348,03/12/2026 05:41 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51349,03/13/2026 09:24 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51350,03/13/2026 11:46 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51351,03/13/2026 04:52 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51352,03/13/2026 05:08 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51353,03/14/2026 10:07 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51354,03/14/2026 11:38 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51355,03/14/2026 01:38 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51356,03/14/2026 03:41 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51357,03/16/2026 01:07 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51358,03/16/2026 03:14 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51359,03/16/2026 06:02 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51360,03/17/2026 10:00 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51361,03/17/2026 04:23 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51362,03/17/2026 06:16 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51363,03/17/2026 06:58 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51364,03/18/2026 09:40 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51365,03/18/2026 09:42 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51366,03/18/2026 09:45 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51367,03/18/2026 02:59 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51368,03/18/2026 05:41 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51369,03/19/2026 09:27 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51370,03/19/2026 10:14 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51371,03/19/2026 10:27 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51372,03/19/2026 11:54 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51373,03/19/2026 12:07 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51374,03/19/2026 01:59 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51375,03/19/2026 02:40 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51376,03/20/2026 09:08 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51377,03/20/2026 09:28 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51378,03/20/2026 10:20 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51379,03/20/2026 02:10 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51380,03/20/2026 04:46 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51381,03/20/2026 05:16 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51382,03/21/2026 09:48 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51383,03/21/2026 11:29 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51384,03/21/2026 03:02 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51385,03/21/2026 03:56 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51386,03/21/2026 04:34 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51387,03/21/2026 05:20 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51388,03/21/2026 06:32 PM,OIL-SO16,Wild salmon oil 16 oz,2,24.99,49.98,Sale,,
R51389,03/23/2026 11:42 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51390,03/23/2026 12:05 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51391,03/23/2026 04:27 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51392,03/23/2026 04:51 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51393,03/23/2026 05:01 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51394,03/23/2026 05:49 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51395,03/23/2026 06:00 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51396,03/23/2026 06:16 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51397,03/24/2026 09:01 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51398,03/24/2026 10:12 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51399,03/24/2026 01:02 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51400,03/24/2026 02:09 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51401,03/24/2026 06:33 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51402,03/25/2026 09:24 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51403,03/25/2026 10:31 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51404,03/25/2026 10:45 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51405,03/25/2026 11:49 AM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51406,03/25/2026 01:21 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51407,03/25/2026 02:34 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51408,03/25/2026 04:59 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51409,03/25/2026 06:48 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51410,03/26/2026 10:09 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51411,03/26/2026 12:00 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51412,03/26/2026 01:38 PM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51413,03/26/2026 05:12 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51414,03/27/2026 12:04 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51415,03/27/2026 01:00 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51416,03/27/2026 01:53 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51417,03/27/2026 02:56 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51418,03/27/2026 03:25 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51419,03/27/2026 03:52 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51420,03/28/2026 10:46 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51421,03/28/2026 11:52 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51422,03/28/2026 11:59 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51423,03/28/2026 12:38 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51424,03/28/2026 03:02 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51425,03/28/2026 05:19 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51426,03/28/2026 06:30 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51427,03/30/2026 09:29 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51428,03/30/2026 11:45 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51429,03/30/2026 01:27 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51430,03/30/2026 02:42 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51431,03/30/2026 05:13 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51432,03/30/2026 05:27 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51433,03/30/2026 05:53 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51434,03/31/2026 09:27 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51435,03/31/2026 10:17 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51436,03/31/2026 10:43 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51437,03/31/2026 11:08 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51438,03/31/2026 11:24 AM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51439,03/31/2026 01:30 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51440,03/31/2026 05:34 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51441,04/01/2026 12:04 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51442,04/01/2026 01:44 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51443,04/01/2026 03:25 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51444,04/01/2026 04:31 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51445,04/01/2026 04:42 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51446,04/01/2026 06:42 PM,OIL-SO16,Wild salmon oil 16 oz,2,24.99,49.98,Sale,,
R51447,04/02/2026 09:00 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,3,74.99,224.97,Sale,,
R51448,04/02/2026 09:41 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51449,04/02/2026 11:36 AM,LIT-CC35,Clumping clay litter 35 lb,3,21.99,65.97,Sale,,
R51450,04/02/2026 01:08 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51451,04/02/2026 02:08 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51452,04/02/2026 04:30 PM,LIT-CC35,Clumping clay litter 35 lb,-1,21.99,-21.99,Return,"Bag split in car - damaged, discarded",R51418
R51453,04/03/2026 11:13 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,2,74.99,149.98,Sale,,
R51454,04/03/2026 12:27 PM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51455,04/03/2026 01:17 PM,CAT-WF12,Whisker Farm indoor cat food 12 lb,2,37.99,75.98,Sale,,
R51456,04/03/2026 02:50 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51457,04/03/2026 03:35 PM,HAY-MT05,Meadow timothy hay 5 lb,2,16.99,33.98,Sale,,
R51458,04/03/2026 04:38 PM,TOY-TR-L,"TuffRope tug toy, large",3,12.99,38.97,Sale,,
R51459,04/03/2026 05:36 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51460,04/04/2026 09:43 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51461,04/04/2026 12:29 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51462,04/04/2026 01:15 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51463,04/04/2026 01:25 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51464,04/04/2026 03:57 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51465,04/06/2026 10:05 AM,DOG-SR25,Summit Ridge grain-free dog food 25 lb,1,74.99,74.99,Sale,,
R51466,04/06/2026 10:19 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,3,37.99,113.97,Sale,,
R51467,04/06/2026 11:36 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51468,04/06/2026 01:31 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51469,04/06/2026 02:38 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51470,04/06/2026 05:08 PM,OIL-SO16,Wild salmon oil 16 oz,1,24.99,24.99,Sale,,
R51471,04/06/2026 05:30 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51472,04/07/2026 09:09 AM,CAT-WF12,Whisker Farm indoor cat food 12 lb,1,37.99,37.99,Sale,,
R51473,04/07/2026 10:33 AM,LIT-CC35,Clumping clay litter 35 lb,2,21.99,43.98,Sale,,
R51474,04/07/2026 01:15 PM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51475,04/07/2026 05:57 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51476,04/07/2026 06:20 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
R51477,04/08/2026 09:27 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51478,04/08/2026 10:31 AM,LIT-CC35,Clumping clay litter 35 lb,1,21.99,21.99,Sale,,
R51479,04/08/2026 02:35 PM,HAY-MT05,Meadow timothy hay 5 lb,1,16.99,16.99,Sale,,
R51480,04/08/2026 06:48 PM,TOY-TR-L,"TuffRope tug toy, large",1,12.99,12.99,Sale,,
R51481,04/08/2026 06:49 PM,CHW-DC30,"Dental chews, 30 count",1,28.99,28.99,Sale,,
