Yellowtail Seafood - Invoice Register
Run 09/08/2026 07:12 - all invoices since 03/01/2026
Invoice No,Customer,Invoice Date,Terms,Due Date,Amount,Paid/Credited,Balance,Status
YS-31442,Riverbend Bistro,06/21/2026,Net 30,07/21/2026,"5,982.70",0.00,"5,982.70",Open
YS-31443,The Saltwater Grill,06/21/2026,Net 45,08/05/2026,"11,544.58","4,617.83","6,926.75",Partially Paid
YS-31444,Harborview Oyster Bar,06/22/2026,Net 30,07/22/2026,"7,652.86","7,652.86",0.00,Paid
YS-31445,Nightjar Supper Club,06/22/2026,Net 15,07/07/2026,"2,038.53","2,038.53",0.00,Paid
YS-31446,Tamarack Brewing,06/24/2026,Net 30,07/24/2026,"7,286.93","1,821.73","5,465.20",Partially Paid
YS-31447,The Saltwater Grill,06/24/2026,Net 45,08/08/2026,"5,083.97","5,083.97",0.00,Paid
YS-31448,Copper Kettle Diner,06/25/2026,Net 15,07/10/2026,"4,684.24","4,684.24",0.00,Paid
YS-31449,Harborview Oyster Bar,06/25/2026,Net 30,07/25/2026,"3,660.91",0.00,"3,660.91",Open
YS-31450,Larkspur Hotel Kitchen,06/25/2026,Net 45,08/09/2026,"5,354.97","5,354.97",0.00,Paid
YS-31451,Pier 9 Fish House,06/25/2026,Net 30,07/25/2026,"7,275.07","7,275.07",0.00,Paid
YS-31452,Mossbank Country Club,06/26/2026,Net 30,07/26/2026,"2,256.88","2,256.88",0.00,Paid
YS-31453,The Saltwater Grill,06/26/2026,Net 45,08/10/2026,"5,266.71","5,266.71",0.00,Paid
YS-31454,Ellington Bakeries,06/27/2026,Net 15,07/12/2026,"4,042.41","1,010.60","3,031.81",Partially Paid
YS-31455,Harborview Oyster Bar,06/27/2026,Net 30,07/27/2026,"5,709.87","5,709.87",0.00,Paid
YS-31456,Blue Heron Catering,06/28/2026,Net 30,07/28/2026,"1,684.43","1,684.43",0.00,Paid
YS-31457,Riverbend Bistro,06/28/2026,Net 30,07/28/2026,"3,921.56",0.00,"3,921.56",Open
YS-31458,Driftwood Taqueria,06/29/2026,Net 30,07/29/2026,"2,769.75","2,769.75",0.00,Paid
YS-31459,The Saltwater Grill,06/29/2026,Net 45,08/13/2026,"2,597.10","2,597.10",0.00,Paid
YS-31460,Copper Kettle Diner,06/30/2026,Net 15,07/15/2026,"1,640.92","1,640.92",0.00,Paid
YS-31461,Harborview Oyster Bar,06/30/2026,Net 30,07/30/2026,"3,259.94","3,259.94",0.00,Paid
YS-31462,Larkspur Hotel Kitchen,06/30/2026,Net 45,08/14/2026,"7,745.30","7,745.30",0.00,Paid
YS-31463,Pier 9 Fish House,06/30/2026,Net 30,07/30/2026,938.83,938.83,0.00,Paid
YS-31464,Juniper Street Cafe,07/01/2026,Net 15,07/16/2026,"2,861.68","2,861.68",0.00,Paid
YS-31465,The Saltwater Grill,07/01/2026,Net 45,08/15/2026,"10,830.29",0.00,"10,830.29",Open
YS-31466,Mossbank Country Club,07/02/2026,Net 30,08/01/2026,"2,173.62","2,173.62",0.00,Paid
YS-31467,Tamarack Brewing,07/02/2026,Net 30,08/01/2026,"7,650.87","7,650.87",0.00,Paid
YS-31468,Larkspur Hotel Kitchen,07/03/2026,Net 45,08/17/2026,"1,271.87","1,271.87",0.00,Paid
YS-31469,The Saltwater Grill,07/03/2026,Net 45,08/17/2026,"10,553.64","2,638.41","7,915.23",Partially Paid
YS-31470,Driftwood Taqueria,07/05/2026,Net 30,08/04/2026,"3,199.40",0.00,"3,199.40",Open
YS-31471,Kingfisher Charters Galley,07/05/2026,Net 15,07/20/2026,"6,580.82","2,632.33","3,948.49",Partially Paid
YS-31472,Larkspur Hotel Kitchen,07/05/2026,Net 45,08/19/2026,"3,048.73",0.00,"3,048.73",Open
YS-31473,The Saltwater Grill,07/05/2026,Net 45,08/19/2026,"10,919.32","10,919.32",0.00,Paid
YS-31474,Blue Heron Catering,07/06/2026,Net 30,08/05/2026,"1,743.35","1,743.35",0.00,Paid
YS-31475,Harborview Oyster Bar,07/06/2026,Net 30,08/05/2026,"4,873.37","4,873.37",0.00,Paid
YS-31476,Pier 9 Fish House,07/06/2026,Net 30,08/05/2026,"7,689.35","7,689.35",0.00,Paid
YS-31477,Copper Kettle Diner,07/07/2026,Net 15,07/22/2026,"3,681.00","3,681.00",0.00,Paid
YS-31478,Riverbend Bistro,07/07/2026,Net 30,08/06/2026,"2,737.81",0.00,"2,737.81",Open
YS-31479,The Saltwater Grill,07/07/2026,Net 45,08/21/2026,"8,968.55","8,968.55",0.00,Paid
YS-31480,Ellington Bakeries,07/08/2026,Net 15,07/23/2026,"5,187.81","5,187.81",0.00,Paid
YS-31481,Harborview Oyster Bar,07/08/2026,Net 30,08/07/2026,"6,706.97","1,676.74","5,030.23",Partially Paid
YS-31482,Mossbank Country Club,07/08/2026,Net 30,08/07/2026,"7,392.63",0.00,"7,392.63",Open
YS-31483,Riverbend Bistro,07/09/2026,Net 30,08/08/2026,"3,331.92",0.00,"3,331.92",Open
YS-31484,The Saltwater Grill,07/09/2026,Net 45,08/23/2026,"11,715.24","11,715.24",0.00,Paid
YS-31485,Juniper Street Cafe,07/10/2026,Net 15,07/25/2026,"4,581.96","4,581.96",0.00,Paid
YS-31486,Larkspur Hotel Kitchen,07/10/2026,Net 45,08/24/2026,"3,664.53","3,664.53",0.00,Paid
YS-31487,Pier 9 Fish House,07/11/2026,Net 30,08/10/2026,"1,762.31","1,762.31",0.00,Paid
YS-31488,The Saltwater Grill,07/11/2026,Net 45,08/25/2026,"8,458.60","8,458.60",0.00,Paid
YS-31489,Blue Heron Catering,07/12/2026,Net 30,08/11/2026,"5,917.19","3,550.31","2,366.88",Partially Paid
YS-31490,Harborview Oyster Bar,07/12/2026,Net 30,08/11/2026,"7,043.75","7,043.75",0.00,Paid
YS-31491,Larkspur Hotel Kitchen,07/12/2026,Net 45,08/26/2026,"3,359.66",0.00,"3,359.66",Open
YS-31492,Tamarack Brewing,07/14/2026,Net 30,08/13/2026,"5,722.80","5,722.80",0.00,Paid
YS-31493,The Saltwater Grill,07/15/2026,Net 45,08/29/2026,"3,451.87","3,451.87",0.00,Paid
YS-31494,Driftwood Taqueria,07/16/2026,Net 30,08/15/2026,"4,762.94",0.00,"4,762.94",Open
YS-31495,Harborview Oyster Bar,07/16/2026,Net 30,08/15/2026,"3,637.02","3,637.02",0.00,Paid
YS-31496,Riverbend Bistro,07/16/2026,Net 30,08/15/2026,"4,514.13","4,514.13",0.00,Paid
YS-31497,Blue Heron Catering,07/17/2026,Net 30,08/16/2026,"5,341.32",0.00,"5,341.32",Open
YS-31498,Copper Kettle Diner,07/17/2026,Net 15,08/01/2026,"5,621.54","1,405.38","4,216.16",Partially Paid
YS-31499,Mossbank Country Club,07/17/2026,Net 30,08/16/2026,"3,468.80","3,468.80",0.00,Paid
YS-31500,The Saltwater Grill,07/17/2026,Net 45,08/31/2026,"7,303.17","7,303.17",0.00,Paid
YS-31501,Harborview Oyster Bar,07/18/2026,Net 30,08/17/2026,"3,604.51",0.00,"3,604.51",Open
YS-31502,Juniper Street Cafe,07/18/2026,Net 15,08/02/2026,"7,199.67","7,199.67",0.00,Paid
YS-31503,Larkspur Hotel Kitchen,07/18/2026,Net 45,09/01/2026,"3,927.94",0.00,"3,927.94",Open
YS-31504,Pier 9 Fish House,07/18/2026,Net 30,08/17/2026,"5,196.04",0.00,"5,196.04",Open
YS-31505,Ellington Bakeries,07/19/2026,Net 15,08/03/2026,"1,429.52","1,429.52",0.00,Paid
YS-31506,Harborview Oyster Bar,07/20/2026,Net 30,08/19/2026,"5,976.54",0.00,"5,976.54",Open
YS-31507,Riverbend Bistro,07/20/2026,Net 30,08/19/2026,"4,661.82",0.00,"4,661.82",Open
YS-31508,The Saltwater Grill,07/20/2026,Net 45,09/03/2026,"12,122.22","7,273.33","4,848.89",Partially Paid
YS-31509,Riverbend Bistro,07/22/2026,Net 30,08/21/2026,"1,452.47",0.00,"1,452.47",Open
YS-31510,Blue Heron Catering,07/23/2026,Net 30,08/22/2026,"5,536.36",0.00,"5,536.36",Open
YS-31511,Kingfisher Charters Galley,07/23/2026,Net 15,08/07/2026,"2,684.52","2,684.52",0.00,Paid
YS-31512,Pier 9 Fish House,07/23/2026,Net 30,08/22/2026,"2,818.99",0.00,"2,818.99",Open
YS-31513,The Saltwater Grill,07/23/2026,Net 45,09/06/2026,"8,418.85","8,418.85",0.00,Paid
YS-31514,Harborview Oyster Bar,07/24/2026,Net 30,08/23/2026,"1,528.32","1,528.32",0.00,Paid
YS-31515,Larkspur Hotel Kitchen,07/24/2026,Net 45,09/07/2026,"1,929.37",0.00,"1,929.37",Open
YS-31516,Tamarack Brewing,07/24/2026,Net 30,08/23/2026,"2,417.46","2,417.46",0.00,Paid
YS-31517,Mossbank Country Club,07/25/2026,Net 30,08/24/2026,"1,589.29",0.00,"1,589.29",Open
YS-31518,The Saltwater Grill,07/25/2026,Net 45,09/08/2026,"7,532.06",0.00,"7,532.06",Open
YS-31519,Copper Kettle Diner,07/26/2026,Net 15,08/10/2026,"1,579.41","1,579.41",0.00,Paid
YS-31520,Driftwood Taqueria,07/26/2026,Net 30,08/25/2026,"6,362.76",0.00,"6,362.76",Open
YS-31521,Blue Heron Catering,07/27/2026,Net 30,08/26/2026,"3,493.23","3,493.23",0.00,Paid
YS-31522,Juniper Street Cafe,07/27/2026,Net 15,08/11/2026,"7,014.28",0.00,"7,014.28",Open
YS-31523,Riverbend Bistro,07/27/2026,Net 30,08/26/2026,"6,268.90",0.00,"6,268.90",Open
YS-31524,Harborview Oyster Bar,07/28/2026,Net 30,08/27/2026,"2,998.97",0.00,"2,998.97",Open
YS-31525,Pier 9 Fish House,07/28/2026,Net 30,08/27/2026,"2,543.19",0.00,"2,543.19",Open
YS-31526,The Saltwater Grill,07/28/2026,Net 45,09/11/2026,"10,765.87",0.00,"10,765.87",Open
YS-31527,Larkspur Hotel Kitchen,07/29/2026,Net 45,09/12/2026,"2,504.62",0.00,"2,504.62",Open
YS-31528,Nightjar Supper Club,07/29/2026,Net 15,08/13/2026,"1,236.37","1,236.37",0.00,Paid
YS-31529,Copper Kettle Diner,07/30/2026,Net 15,08/14/2026,"3,296.40","3,296.40",0.00,Paid
YS-31530,The Saltwater Grill,07/30/2026,Net 45,09/13/2026,"5,613.81","5,613.81",0.00,Paid
YS-31531,Pier 9 Fish House,07/31/2026,Net 30,08/30/2026,"2,217.53","2,217.53",0.00,Paid
YS-31532,Riverbend Bistro,07/31/2026,Net 30,08/30/2026,"7,036.28",0.00,"7,036.28",Open
YS-31533,Harborview Oyster Bar,08/01/2026,Net 30,08/31/2026,"6,609.14",0.00,"6,609.14",Open
YS-31534,Juniper Street Cafe,08/01/2026,Net 15,08/16/2026,"2,294.61","2,294.61",0.00,Paid
YS-31535,Larkspur Hotel Kitchen,08/01/2026,Net 45,09/15/2026,"6,476.64",0.00,"6,476.64",Open
YS-31536,Tamarack Brewing,08/01/2026,Net 30,08/31/2026,"7,663.11",0.00,"7,663.11",Open
YS-31537,Mossbank Country Club,08/02/2026,Net 30,09/01/2026,"2,631.83",0.00,"2,631.83",Open
YS-31538,The Saltwater Grill,08/02/2026,Net 45,09/16/2026,"2,629.24",0.00,"2,629.24",Open
YS-31539,Riverbend Bistro,08/03/2026,Net 30,09/02/2026,"1,771.12",0.00,"1,771.12",Open
YS-31540,Blue Heron Catering,08/04/2026,Net 30,09/03/2026,"7,126.30",0.00,"7,126.30",Open
YS-31541,The Saltwater Grill,08/04/2026,Net 45,09/18/2026,"5,583.14",0.00,"5,583.14",Open
YS-31542,Harborview Oyster Bar,08/05/2026,Net 30,09/04/2026,"6,075.84",0.00,"6,075.84",Open
YS-31543,Kingfisher Charters Galley,08/05/2026,Net 15,08/20/2026,"4,897.89",0.00,"4,897.89",Open
YS-31544,Copper Kettle Diner,08/06/2026,Net 15,08/21/2026,"5,772.48","5,772.48",0.00,Paid
YS-31545,Larkspur Hotel Kitchen,08/06/2026,Net 45,09/20/2026,"6,537.08",0.00,"6,537.08",Open
YS-31546,The Saltwater Grill,08/06/2026,Net 45,09/20/2026,"12,170.64",0.00,"12,170.64",Open
YS-31547,Driftwood Taqueria,08/07/2026,Net 30,09/06/2026,"5,857.64",0.00,"5,857.64",Open
YS-31548,Larkspur Hotel Kitchen,08/08/2026,Net 45,09/22/2026,"1,905.40",0.00,"1,905.40",Open
YS-31549,Mossbank Country Club,08/08/2026,Net 30,09/07/2026,"4,117.02","4,117.02",0.00,Paid
YS-31550,Pier 9 Fish House,08/08/2026,Net 30,09/07/2026,"7,563.67","7,563.67",0.00,Paid
YS-31551,Harborview Oyster Bar,08/09/2026,Net 30,09/08/2026,"5,154.38",0.00,"5,154.38",Open
YS-31552,Riverbend Bistro,08/09/2026,Net 30,09/08/2026,"7,789.27",0.00,"7,789.27",Open
YS-31553,Blue Heron Catering,08/10/2026,Net 30,09/09/2026,"1,408.12",0.00,"1,408.12",Open
YS-31554,The Saltwater Grill,08/10/2026,Net 45,09/24/2026,"9,324.13",0.00,"9,324.13",Open
YS-31555,Larkspur Hotel Kitchen,08/11/2026,Net 45,09/25/2026,"5,846.72",0.00,"5,846.72",Open
YS-31556,Ellington Bakeries,08/12/2026,Net 15,08/27/2026,"7,562.64",0.00,"7,562.64",Open
YS-31557,Harborview Oyster Bar,08/12/2026,Net 30,09/11/2026,"1,015.82",0.00,"1,015.82",Open
YS-31558,The Saltwater Grill,08/12/2026,Net 45,09/26/2026,"2,609.34",0.00,"2,609.34",Open
YS-31559,Pier 9 Fish House,08/13/2026,Net 30,09/12/2026,"6,613.05",0.00,"6,613.05",Open
YS-31560,Copper Kettle Diner,08/14/2026,Net 15,08/29/2026,"4,398.68",0.00,"4,398.68",Open
YS-31561,Driftwood Taqueria,08/14/2026,Net 30,09/13/2026,"3,361.60","3,361.60",0.00,Paid
YS-31562,Ellington Bakeries,08/14/2026,Net 15,08/29/2026,"6,393.12","6,393.12",0.00,Paid
YS-31563,Juniper Street Cafe,08/14/2026,Net 15,08/29/2026,"6,666.64","6,666.64",0.00,Paid
YS-31564,Larkspur Hotel Kitchen,08/14/2026,Net 45,09/28/2026,"6,779.40",0.00,"6,779.40",Open
YS-31565,Tamarack Brewing,08/14/2026,Net 30,09/13/2026,"3,196.24",0.00,"3,196.24",Open
YS-31566,Riverbend Bistro,08/15/2026,Net 30,09/14/2026,"6,241.75",0.00,"6,241.75",Open
YS-31567,The Saltwater Grill,08/15/2026,Net 45,09/29/2026,"3,122.75",0.00,"3,122.75",Open
YS-31568,Blue Heron Catering,08/16/2026,Net 30,09/15/2026,"5,321.89",0.00,"5,321.89",Open
YS-31569,Harborview Oyster Bar,08/16/2026,Net 30,09/15/2026,"1,390.80",0.00,"1,390.80",Open
YS-31570,Larkspur Hotel Kitchen,08/16/2026,Net 45,09/30/2026,"3,481.84",0.00,"3,481.84",Open
YS-31571,Mossbank Country Club,08/17/2026,Net 30,09/16/2026,"2,386.22",0.00,"2,386.22",Open
YS-31572,Kingfisher Charters Galley,08/18/2026,Net 15,09/02/2026,"3,904.90",0.00,"3,904.90",Open
YS-31573,The Saltwater Grill,08/18/2026,Net 45,10/02/2026,"8,901.46",0.00,"8,901.46",Open
YS-31574,Pier 9 Fish House,08/19/2026,Net 30,09/18/2026,"2,160.06",0.00,"2,160.06",Open
YS-31575,Riverbend Bistro,08/19/2026,Net 30,09/18/2026,"7,395.57",0.00,"7,395.57",Open
YS-31576,Copper Kettle Diner,08/20/2026,Net 15,09/04/2026,"1,896.95","1,896.95",0.00,Paid
YS-31577,Larkspur Hotel Kitchen,08/20/2026,Net 45,10/04/2026,"3,547.57",0.00,"3,547.57",Open
YS-31578,Tamarack Brewing,08/20/2026,Net 30,09/19/2026,"5,045.45",0.00,"5,045.45",Open
YS-31579,Blue Heron Catering,08/21/2026,Net 30,09/20/2026,"5,106.99",0.00,"5,106.99",Open
YS-31580,Harborview Oyster Bar,08/21/2026,Net 30,09/20/2026,"1,298.07",0.00,"1,298.07",Open
YS-31581,Nightjar Supper Club,08/21/2026,Net 15,09/05/2026,"2,880.15","2,880.15",0.00,Paid
YS-31582,Driftwood Taqueria,08/23/2026,Net 30,09/22/2026,"4,855.53",0.00,"4,855.53",Open
YS-31583,Pier 9 Fish House,08/23/2026,Net 30,09/22/2026,"4,852.07",0.00,"4,852.07",Open
YS-31584,The Saltwater Grill,08/23/2026,Net 45,10/07/2026,"6,980.88",0.00,"6,980.88",Open
YS-31585,Harborview Oyster Bar,08/24/2026,Net 30,09/23/2026,"6,509.58",0.00,"6,509.58",Open
YS-31586,Larkspur Hotel Kitchen,08/24/2026,Net 45,10/08/2026,"7,630.46",0.00,"7,630.46",Open
YS-31587,Mossbank Country Club,08/24/2026,Net 30,09/23/2026,"4,671.16",0.00,"4,671.16",Open
YS-31588,Juniper Street Cafe,08/25/2026,Net 15,09/09/2026,"4,268.32",0.00,"4,268.32",Open
YS-31589,The Saltwater Grill,08/25/2026,Net 45,10/09/2026,"8,828.24",0.00,"8,828.24",Open
YS-31590,Ellington Bakeries,08/26/2026,Net 15,09/10/2026,"1,630.71",0.00,"1,630.71",Open
YS-31591,Harborview Oyster Bar,08/26/2026,Net 30,09/25/2026,"3,611.43",0.00,"3,611.43",Open
YS-31592,Larkspur Hotel Kitchen,08/26/2026,Net 45,10/10/2026,"2,921.05",0.00,"2,921.05",Open
YS-31593,Copper Kettle Diner,08/27/2026,Net 15,09/11/2026,"3,272.92",0.00,"3,272.92",Open
YS-31594,Riverbend Bistro,08/27/2026,Net 30,09/26/2026,"4,196.43",0.00,"4,196.43",Open
YS-31595,Mossbank Country Club,08/28/2026,Net 30,09/27/2026,"5,475.96",0.00,"5,475.96",Open
YS-31596,The Saltwater Grill,08/28/2026,Net 45,10/12/2026,"9,072.16",0.00,"9,072.16",Open
YS-31597,Pier 9 Fish House,08/29/2026,Net 30,09/28/2026,"1,354.30",0.00,"1,354.30",Open
YS-31598,Tamarack Brewing,08/29/2026,Net 30,09/28/2026,921.25,0.00,921.25,Open
YS-31599,Blue Heron Catering,08/30/2026,Net 30,09/29/2026,"4,933.10",0.00,"4,933.10",Open
YS-31600,Harborview Oyster Bar,08/30/2026,Net 30,09/29/2026,"2,328.92",0.00,"2,328.92",Open
YS-31601,Larkspur Hotel Kitchen,08/30/2026,Net 45,10/14/2026,"3,142.39",0.00,"3,142.39",Open
YS-31602,Pier 9 Fish House,08/31/2026,Net 30,09/30/2026,"3,401.42",0.00,"3,401.42",Open
YS-31603,The Saltwater Grill,09/01/2026,Net 45,10/16/2026,"11,947.99",0.00,"11,947.99",Open
YS-31604,Driftwood Taqueria,09/02/2026,Net 30,10/02/2026,"4,185.70",0.00,"4,185.70",Open
YS-31605,Kingfisher Charters Galley,09/02/2026,Net 15,09/17/2026,"3,497.48",0.00,"3,497.48",Open
YS-31606,Mossbank Country Club,09/03/2026,Net 30,10/03/2026,"5,102.36",0.00,"5,102.36",Open
YS-31607,Riverbend Bistro,09/03/2026,Net 30,10/03/2026,"5,459.62",0.00,"5,459.62",Open
YS-31608,The Saltwater Grill,09/03/2026,Net 45,10/18/2026,"9,712.00",0.00,"9,712.00",Open
YS-31609,Blue Heron Catering,09/04/2026,Net 30,10/04/2026,"6,579.51",0.00,"6,579.51",Open
YS-31610,Kingfisher Charters Galley,09/04/2026,Net 15,09/19/2026,"5,083.56",0.00,"5,083.56",Open
YS-31611,Harborview Oyster Bar,09/05/2026,Net 30,10/05/2026,"6,995.21",0.00,"6,995.21",Open
YS-31612,Larkspur Hotel Kitchen,09/05/2026,Net 45,10/20/2026,"7,413.13",0.00,"7,413.13",Open
YS-31613,Pier 9 Fish House,09/05/2026,Net 30,10/05/2026,"7,014.19",0.00,"7,014.19",Open
YS-31614,The Saltwater Grill,09/05/2026,Net 45,10/20/2026,"3,114.54",0.00,"3,114.54",Open
YS-31615,Driftwood Taqueria,09/07/2026,Net 30,10/07/2026,"5,410.59",0.00,"5,410.59",Open
YS-31616,Juniper Street Cafe,09/07/2026,Net 15,09/22/2026,"6,672.31",0.00,"6,672.31",Open
YS-31617,Riverbend Bistro,09/07/2026,Net 30,10/07/2026,"7,604.43",0.00,"7,604.43",Open
YS-31618,Tamarack Brewing,09/07/2026,Net 30,10/07/2026,"4,562.19",0.00,"4,562.19",Open
YS-31619,Ellington Bakeries,09/08/2026,Net 15,09/23/2026,"3,926.17",0.00,"3,926.17",Open
YS-31620,The Saltwater Grill,09/08/2026,Net 45,10/23/2026,"12,442.39",0.00,"12,442.39",Open
