Invoice,Invoice Date,Customer,SKU,Description,Qty,List Price,Cust Discount,Unit Price,Line Total
INV-30475,08/25/2026,Barkside Grooming,KC-TY-RO,Rope toy assortment (case of 24),12,71.30,10%,64.17,770.04
INV-30475,08/25/2026,Barkside Grooming,KC-TR-SB,Salmon bites treats 12 oz (case of 12),13,86.00,10%,77.40,"1,006.20"
INV-30475,08/25/2026,Barkside Grooming,KC-FL-3,Flea and tick drops 3-pack (case of 6),14,118.20,10%,106.38,"1,489.32"
INV-30475,08/25/2026,Barkside Grooming,KC-LE-6,Nylon leash 6 ft (case of 10),3,63.50,10%,57.15,171.45
INV-30478,09/01/2026,Mountain Mutt Outfitters,KC-LT-40,Clumping litter 40 lb,8,22.75,12%,20.02,160.16
INV-30478,09/01/2026,Mountain Mutt Outfitters,KC-TR-SB,Salmon bites treats 12 oz (case of 12),5,86.00,12%,75.68,378.40
INV-30478,09/01/2026,Mountain Mutt Outfitters,KC-AQ-FL,Aquarium filter cartridges (24),13,52.80,12%,46.46,603.98
INV-30478,09/01/2026,Mountain Mutt Outfitters,KC-LE-6,Nylon leash 6 ft (case of 10),10,63.50,12%,55.88,558.80
INV-30481,09/03/2026,Mudroom Dog Wash,KC-CH-BU,Bully sticks 6 in (bulk 50),6,96.40,5%,91.58,549.48
INV-30481,09/03/2026,Mudroom Dog Wash,KC-LE-6,Nylon leash 6 ft (case of 10),6,63.50,5%,60.33,361.98
INV-30481,09/03/2026,Mudroom Dog Wash,KC-TR-SB,Salmon bites treats 12 oz (case of 12),8,86.00,5%,81.70,653.60
INV-30481,09/03/2026,Mudroom Dog Wash,KC-FL-3,Flea and tick drops 3-pack (case of 6),14,118.20,5%,112.29,"1,572.06"
INV-30483,09/04/2026,Mountain Mutt Outfitters,KC-DF-30,Grain-free dog food 30 lb,8,58.40,12%,51.39,411.12
INV-30483,09/04/2026,Mountain Mutt Outfitters,KC-BS-25,Wild bird seed 25 lb,8,27.60,12%,24.29,194.32
INV-30483,09/04/2026,Mountain Mutt Outfitters,KC-BR-SL,Slicker brush (case of 6),14,47.10,12%,41.45,580.30
INV-30483,09/04/2026,Mountain Mutt Outfitters,KC-CL-PRO,Professional clipper kit,9,189.00,12%,166.32,"1,496.88"
INV-30485,09/08/2026,Mudroom Dog Wash,KC-CF-16,Indoor cat food 16 lb,10,41.20,5%,39.14,391.40
INV-30485,09/08/2026,Mudroom Dog Wash,KC-AQ-FL,Aquarium filter cartridges (24),6,52.80,5%,50.16,300.96
INV-30485,09/08/2026,Mudroom Dog Wash,KC-TY-RO,Rope toy assortment (case of 24),3,71.30,5%,67.74,203.22
INV-30485,09/08/2026,Mudroom Dog Wash,KC-DF-30,Grain-free dog food 30 lb,10,58.40,5%,55.48,554.80
INV-30486,09/11/2026,Scratch & Sniff Pets,KC-LT-40,Clumping litter 40 lb,11,22.75,8%,20.93,230.23
INV-30486,09/11/2026,Scratch & Sniff Pets,KC-TY-RO,Rope toy assortment (case of 24),5,71.30,8%,65.60,328.00
INV-30486,09/11/2026,Scratch & Sniff Pets,KC-BD-L,Orthopedic bed large,6,74.25,8%,68.31,409.86
INV-30486,09/11/2026,Scratch & Sniff Pets,KC-CH-BU,Bully sticks 6 in (bulk 50),12,96.40,8%,88.69,"1,064.28"
INV-30486,09/11/2026,Scratch & Sniff Pets,KC-AQ-FL,Aquarium filter cartridges (24),10,52.80,8%,48.58,485.80
